"IUCN","IUCN Category","SPEC","Species","COU","Country","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"THREATENED","Total number of threatened species","FISH_TOT","Fish","AUT","Austria","NBR","Number","0","Units",,,39,,
"THREATENED","Total number of threatened species","FRESHW_F","Freshwater Fish","AUT","Austria","NBR","Number","0","Units",,,39,,
"ENDANGERED_IND","Number of endangered indigenous species","FISH_TOT","Fish","AUT","Austria","NBR","Number","0","Units",,,18,,
"ENDANGERED_IND","Number of endangered indigenous species","FRESHW_F","Freshwater Fish","AUT","Austria","NBR","Number","0","Units",,,18,,
"CRITICAL_IND","Number of critically endangered indigenous species","FISH_TOT","Fish","AUT","Austria","NBR","Number","0","Units",,,6,,
"CRITICAL_IND","Number of critically endangered indigenous species","FRESHW_F","Freshwater Fish","AUT","Austria","NBR","Number","0","Units",,,6,,
"VULNERABLE_IND","Number of vulnerable indigenous species","FISH_TOT","Fish","AUT","Austria","NBR","Number","0","Units",,,15,,
"VULNERABLE_IND","Number of vulnerable indigenous species","FRESHW_F","Freshwater Fish","AUT","Austria","NBR","Number","0","Units",,,15,,
"THREATENED_IND","Total number of indigenous threatened species","FISH_TOT","Fish","AUT","Austria","NBR","Number","0","Units",,,39,,
"THREATENED_IND","Total number of indigenous threatened species","FRESHW_F","Freshwater Fish","AUT","Austria","NBR","Number","0","Units",,,39,,
"THREAT_PERCENT","Threatened species as % of known species","FISH_TOT","Fish","AUT","Austria","PC","Percentage","0","Units",,,46.429,,
"THREAT_PERCENT","Threatened species as % of known species","FRESHW_F","Freshwater Fish","AUT","Austria","PC","Percentage","0","Units",,,46.429,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","FISH_TOT","Fish","AUT","Austria","PC","Percentage","0","Units",,,46.429,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","FRESHW_F","Freshwater Fish","AUT","Austria","PC","Percentage","0","Units",,,46.429,,
"TOT_KNOWN","Total number of known species","FISH_TOT","Fish","BEL","Belgium","NBR","Number","0","Units",,,142,,
"TOT_KNOWN","Total number of known species","MARINE_F","Marine Fish","BEL","Belgium","NBR","Number","0","Units",,,99,,
"TOT_KNOWN","Total number of known species","FRESHW_F","Freshwater Fish","BEL","Belgium","NBR","Number","0","Units",,,43,,
"TOT_KNOWN_IND","Total number of indigenous known species","FISH_TOT","Fish","BEL","Belgium","NBR","Number","0","Units",,,123,,
"TOT_KNOWN_IND","Total number of indigenous known species","MARINE_F","Marine Fish","BEL","Belgium","NBR","Number","0","Units",,,99,,
"TOT_KNOWN_IND","Total number of indigenous known species","FRESHW_F","Freshwater Fish","BEL","Belgium","NBR","Number","0","Units",,,24,,
"ENDANGERED","Number of endangered species","FISH_TOT","Fish","BEL","Belgium","NBR","Number","0","Units",,,4,,
"ENDANGERED","Number of endangered species","MARINE_F","Marine Fish","BEL","Belgium","NBR","Number","0","Units",,,3,,
"ENDANGERED","Number of endangered species","FRESHW_F","Freshwater Fish","BEL","Belgium","NBR","Number","0","Units",,,1,,
"CRITICAL","Number of critically endangered species","FISH_TOT","Fish","BEL","Belgium","NBR","Number","0","Units",,,3,,
"CRITICAL","Number of critically endangered species","MARINE_F","Marine Fish","BEL","Belgium","NBR","Number","0","Units",,,2,,
"CRITICAL","Number of critically endangered species","FRESHW_F","Freshwater Fish","BEL","Belgium","NBR","Number","0","Units",,,1,,
"VULNERABLE","Number of vulnerable species","FISH_TOT","Fish","BEL","Belgium","NBR","Number","0","Units",,,22,,
"VULNERABLE","Number of vulnerable species","MARINE_F","Marine Fish","BEL","Belgium","NBR","Number","0","Units",,,9,,
"VULNERABLE","Number of vulnerable species","FRESHW_F","Freshwater Fish","BEL","Belgium","NBR","Number","0","Units",,,13,,
"THREATENED","Total number of threatened species","FISH_TOT","Fish","BEL","Belgium","NBR","Number","0","Units",,,29,,
"THREATENED","Total number of threatened species","MARINE_F","Marine Fish","BEL","Belgium","NBR","Number","0","Units",,,14,,
"THREATENED","Total number of threatened species","FRESHW_F","Freshwater Fish","BEL","Belgium","NBR","Number","0","Units",,,15,,
"ENDANGERED_IND","Number of endangered indigenous species","FISH_TOT","Fish","BEL","Belgium","NBR","Number","0","Units",,,4,,
"ENDANGERED_IND","Number of endangered indigenous species","MARINE_F","Marine Fish","BEL","Belgium","NBR","Number","0","Units",,,3,,
"ENDANGERED_IND","Number of endangered indigenous species","FRESHW_F","Freshwater Fish","BEL","Belgium","NBR","Number","0","Units",,,1,,
"CRITICAL_IND","Number of critically endangered indigenous species","FISH_TOT","Fish","BEL","Belgium","NBR","Number","0","Units",,,3,,
"CRITICAL_IND","Number of critically endangered indigenous species","MARINE_F","Marine Fish","BEL","Belgium","NBR","Number","0","Units",,,2,,
"CRITICAL_IND","Number of critically endangered indigenous species","FRESHW_F","Freshwater Fish","BEL","Belgium","NBR","Number","0","Units",,,1,,
"VULNERABLE_IND","Number of vulnerable indigenous species","FISH_TOT","Fish","BEL","Belgium","NBR","Number","0","Units",,,22,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MARINE_F","Marine Fish","BEL","Belgium","NBR","Number","0","Units",,,9,,
"VULNERABLE_IND","Number of vulnerable indigenous species","FRESHW_F","Freshwater Fish","BEL","Belgium","NBR","Number","0","Units",,,13,,
"THREATENED_IND","Total number of indigenous threatened species","FISH_TOT","Fish","BEL","Belgium","NBR","Number","0","Units",,,29,,
"THREATENED_IND","Total number of indigenous threatened species","MARINE_F","Marine Fish","BEL","Belgium","NBR","Number","0","Units",,,14,,
"THREATENED_IND","Total number of indigenous threatened species","FRESHW_F","Freshwater Fish","BEL","Belgium","NBR","Number","0","Units",,,15,,
"THREAT_PERCENT","Threatened species as % of known species","FISH_TOT","Fish","BEL","Belgium","PC","Percentage","0","Units",,,20.423,,
"THREAT_PERCENT","Threatened species as % of known species","MARINE_F","Marine Fish","BEL","Belgium","PC","Percentage","0","Units",,,14.141,,
"THREAT_PERCENT","Threatened species as % of known species","FRESHW_F","Freshwater Fish","BEL","Belgium","PC","Percentage","0","Units",,,34.884,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","FISH_TOT","Fish","BEL","Belgium","PC","Percentage","0","Units",,,23.577,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","MARINE_F","Marine Fish","BEL","Belgium","PC","Percentage","0","Units",,,14.141,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","FRESHW_F","Freshwater Fish","BEL","Belgium","PC","Percentage","0","Units",,,62.5,,
"TOT_KNOWN","Total number of known species","FISH_TOT","Fish","CAN","Canada","NBR","Number","0","Units",,,1059,,
"TOT_KNOWN","Total number of known species","MARINE_F","Marine Fish","CAN","Canada","NBR","Number","0","Units",,,895,,
"TOT_KNOWN","Total number of known species","FRESHW_F","Freshwater Fish","CAN","Canada","NBR","Number","0","Units",,,164,,
"TOT_KNOWN_IND","Total number of indigenous known species","FISH_TOT","Fish","CAN","Canada","NBR","Number","0","Units",,,1044,,
"TOT_KNOWN_IND","Total number of indigenous known species","MARINE_F","Marine Fish","CAN","Canada","NBR","Number","0","Units",,,895,,
"TOT_KNOWN_IND","Total number of indigenous known species","FRESHW_F","Freshwater Fish","CAN","Canada","NBR","Number","0","Units",,,149,,
"ENDANGERED","Number of endangered species","FISH_TOT","Fish","CAN","Canada","NBR","Number","0","Units",,,25,,
"ENDANGERED","Number of endangered species","MARINE_F","Marine Fish","CAN","Canada","NBR","Number","0","Units",,,11,,
"ENDANGERED","Number of endangered species","FRESHW_F","Freshwater Fish","CAN","Canada","NBR","Number","0","Units",,,14,,
"CRITICAL","Number of critically endangered species","FISH_TOT","Fish","CAN","Canada","NBR","Number","0","Units",,,9,,
"CRITICAL","Number of critically endangered species","MARINE_F","Marine Fish","CAN","Canada","NBR","Number","0","Units",,,3,,
"CRITICAL","Number of critically endangered species","FRESHW_F","Freshwater Fish","CAN","Canada","NBR","Number","0","Units",,,6,,
"VULNERABLE","Number of vulnerable species","FISH_TOT","Fish","CAN","Canada","NBR","Number","0","Units",,,54,,
"VULNERABLE","Number of vulnerable species","MARINE_F","Marine Fish","CAN","Canada","NBR","Number","0","Units",,,38,,
"VULNERABLE","Number of vulnerable species","FRESHW_F","Freshwater Fish","CAN","Canada","NBR","Number","0","Units",,,16,,
"THREATENED","Total number of threatened species","FISH_TOT","Fish","CAN","Canada","NBR","Number","0","Units",,,88,,
"THREATENED","Total number of threatened species","MARINE_F","Marine Fish","CAN","Canada","NBR","Number","0","Units",,,52,,
"THREATENED","Total number of threatened species","FRESHW_F","Freshwater Fish","CAN","Canada","NBR","Number","0","Units",,,36,,
"ENDANGERED_IND","Number of endangered indigenous species","FISH_TOT","Fish","CAN","Canada","NBR","Number","0","Units",,,25,,
"ENDANGERED_IND","Number of endangered indigenous species","MARINE_F","Marine Fish","CAN","Canada","NBR","Number","0","Units",,,11,,
"ENDANGERED_IND","Number of endangered indigenous species","FRESHW_F","Freshwater Fish","CAN","Canada","NBR","Number","0","Units",,,14,,
"CRITICAL_IND","Number of critically endangered indigenous species","FISH_TOT","Fish","CAN","Canada","NBR","Number","0","Units",,,9,,
"CRITICAL_IND","Number of critically endangered indigenous species","MARINE_F","Marine Fish","CAN","Canada","NBR","Number","0","Units",,,3,,
"CRITICAL_IND","Number of critically endangered indigenous species","FRESHW_F","Freshwater Fish","CAN","Canada","NBR","Number","0","Units",,,6,,
"VULNERABLE_IND","Number of vulnerable indigenous species","FISH_TOT","Fish","CAN","Canada","NBR","Number","0","Units",,,54,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MARINE_F","Marine Fish","CAN","Canada","NBR","Number","0","Units",,,38,,
"VULNERABLE_IND","Number of vulnerable indigenous species","FRESHW_F","Freshwater Fish","CAN","Canada","NBR","Number","0","Units",,,16,,
"THREATENED_IND","Total number of indigenous threatened species","FISH_TOT","Fish","CAN","Canada","NBR","Number","0","Units",,,88,,
"THREATENED_IND","Total number of indigenous threatened species","MARINE_F","Marine Fish","CAN","Canada","NBR","Number","0","Units",,,52,,
"THREATENED_IND","Total number of indigenous threatened species","FRESHW_F","Freshwater Fish","CAN","Canada","NBR","Number","0","Units",,,36,,
"THREAT_PERCENT","Threatened species as % of known species","FISH_TOT","Fish","CAN","Canada","PC","Percentage","0","Units",,,8.31,,
"THREAT_PERCENT","Threatened species as % of known species","MARINE_F","Marine Fish","CAN","Canada","PC","Percentage","0","Units",,,5.81,,
"THREAT_PERCENT","Threatened species as % of known species","FRESHW_F","Freshwater Fish","CAN","Canada","PC","Percentage","0","Units",,,21.951,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","FISH_TOT","Fish","CAN","Canada","PC","Percentage","0","Units",,,8.429,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","MARINE_F","Marine Fish","CAN","Canada","PC","Percentage","0","Units",,,5.81,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","FRESHW_F","Freshwater Fish","CAN","Canada","PC","Percentage","0","Units",,,24.161,,
"TOT_KNOWN","Total number of known species","FISH_TOT","Fish","CZE","Czech Republic","NBR","Number","0","Units",,,65,,
"TOT_KNOWN","Total number of known species","FRESHW_F","Freshwater Fish","CZE","Czech Republic","NBR","Number","0","Units",,,65,,
"TOT_KNOWN_IND","Total number of indigenous known species","FISH_TOT","Fish","CZE","Czech Republic","NBR","Number","0","Units",,,52,,
"TOT_KNOWN_IND","Total number of indigenous known species","FRESHW_F","Freshwater Fish","CZE","Czech Republic","NBR","Number","0","Units",,,52,,
"ENDANGERED","Number of endangered species","FISH_TOT","Fish","CZE","Czech Republic","NBR","Number","0","Units",,,6,,
"ENDANGERED","Number of endangered species","FRESHW_F","Freshwater Fish","CZE","Czech Republic","NBR","Number","0","Units",,,6,,
"CRITICAL","Number of critically endangered species","FISH_TOT","Fish","CZE","Czech Republic","NBR","Number","0","Units",,,11,,
"CRITICAL","Number of critically endangered species","FRESHW_F","Freshwater Fish","CZE","Czech Republic","NBR","Number","0","Units",,,11,,
"VULNERABLE","Number of vulnerable species","FISH_TOT","Fish","CZE","Czech Republic","NBR","Number","0","Units",,,10,,
"VULNERABLE","Number of vulnerable species","FRESHW_F","Freshwater Fish","CZE","Czech Republic","NBR","Number","0","Units",,,10,,
"THREATENED","Total number of threatened species","FISH_TOT","Fish","CZE","Czech Republic","NBR","Number","0","Units",,,27,,
"THREATENED","Total number of threatened species","FRESHW_F","Freshwater Fish","CZE","Czech Republic","NBR","Number","0","Units",,,27,,
"THREAT_PERCENT","Threatened species as % of known species","FISH_TOT","Fish","CZE","Czech Republic","PC","Percentage","0","Units",,,41.538,,
"THREAT_PERCENT","Threatened species as % of known species","FRESHW_F","Freshwater Fish","CZE","Czech Republic","PC","Percentage","0","Units",,,41.538,,
"TOT_KNOWN","Total number of known species","FRESHW_F","Freshwater Fish","DNK","Denmark","NBR","Number","0","Units",,,55,,
"TOT_KNOWN_IND","Total number of indigenous known species","FRESHW_F","Freshwater Fish","DNK","Denmark","NBR","Number","0","Units",,,36,,
"CRITICAL","Number of critically endangered species","FRESHW_F","Freshwater Fish","DNK","Denmark","NBR","Number","0","Units",,,2,,
"VULNERABLE","Number of vulnerable species","FRESHW_F","Freshwater Fish","DNK","Denmark","NBR","Number","0","Units",,,6,,
"THREATENED","Total number of threatened species","FRESHW_F","Freshwater Fish","DNK","Denmark","NBR","Number","0","Units",,,8,,
"CRITICAL_IND","Number of critically endangered indigenous species","FRESHW_F","Freshwater Fish","DNK","Denmark","NBR","Number","0","Units",,,2,,
"VULNERABLE_IND","Number of vulnerable indigenous species","FRESHW_F","Freshwater Fish","DNK","Denmark","NBR","Number","0","Units",,,6,,
"THREATENED_IND","Total number of indigenous threatened species","FRESHW_F","Freshwater Fish","DNK","Denmark","NBR","Number","0","Units",,,8,,
"THREAT_PERCENT","Threatened species as % of known species","FRESHW_F","Freshwater Fish","DNK","Denmark","PC","Percentage","0","Units",,,14.545,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","FRESHW_F","Freshwater Fish","DNK","Denmark","PC","Percentage","0","Units",,,22.222,,
"TOT_KNOWN","Total number of known species","FRESHW_F","Freshwater Fish","FIN","Finland","NBR","Number","0","Units",,,69,,
"TOT_KNOWN_IND","Total number of indigenous known species","FRESHW_F","Freshwater Fish","FIN","Finland","NBR","Number","0","Units",,,69,,
"ENDANGERED","Number of endangered species","FRESHW_F","Freshwater Fish","FIN","Finland","NBR","Number","0","Units",,,3,,
"CRITICAL","Number of critically endangered species","FRESHW_F","Freshwater Fish","FIN","Finland","NBR","Number","0","Units",,,4,,
"VULNERABLE","Number of vulnerable species","FRESHW_F","Freshwater Fish","FIN","Finland","NBR","Number","0","Units",,,5,,
"THREATENED","Total number of threatened species","FRESHW_F","Freshwater Fish","FIN","Finland","NBR","Number","0","Units",,,12,,
"ENDANGERED_IND","Number of endangered indigenous species","FRESHW_F","Freshwater Fish","FIN","Finland","NBR","Number","0","Units",,,3,,
"CRITICAL_IND","Number of critically endangered indigenous species","FRESHW_F","Freshwater Fish","FIN","Finland","NBR","Number","0","Units",,,4,,
"VULNERABLE_IND","Number of vulnerable indigenous species","FRESHW_F","Freshwater Fish","FIN","Finland","NBR","Number","0","Units",,,5,,
"THREATENED_IND","Total number of indigenous threatened species","FRESHW_F","Freshwater Fish","FIN","Finland","NBR","Number","0","Units",,,12,,
"THREAT_PERCENT","Threatened species as % of known species","FRESHW_F","Freshwater Fish","FIN","Finland","PC","Percentage","0","Units",,,17.391,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","FRESHW_F","Freshwater Fish","FIN","Finland","PC","Percentage","0","Units",,,17.391,,
"TOT_KNOWN","Total number of known species","FRESHW_F","Freshwater Fish","FRA","France","NBR","Number","0","Units",,,65,,
"ENDANGERED","Number of endangered species","FRESHW_F","Freshwater Fish","FRA","France","NBR","Number","0","Units",,,2,,
"CRITICAL","Number of critically endangered species","FRESHW_F","Freshwater Fish","FRA","France","NBR","Number","0","Units",,,4,,
"VULNERABLE","Number of vulnerable species","FRESHW_F","Freshwater Fish","FRA","France","NBR","Number","0","Units",,,9,,
"THREATENED","Total number of threatened species","FRESHW_F","Freshwater Fish","FRA","France","NBR","Number","0","Units",,,15,,
"THREAT_PERCENT","Threatened species as % of known species","FRESHW_F","Freshwater Fish","FRA","France","PC","Percentage","0","Units",,,23.077,,
"TOT_KNOWN","Total number of known species","FRESHW_F","Freshwater Fish","DEU","Germany","NBR","Number","0","Units",,,93,,
"TOT_KNOWN_IND","Total number of indigenous known species","FRESHW_F","Freshwater Fish","DEU","Germany","NBR","Number","0","Units",,,79,,
"ENDANGERED","Number of endangered species","FRESHW_F","Freshwater Fish","DEU","Germany","NBR","Number","0","Units",,,9,,
"CRITICAL","Number of critically endangered species","FRESHW_F","Freshwater Fish","DEU","Germany","NBR","Number","0","Units",,,8,,
"VULNERABLE","Number of vulnerable species","FRESHW_F","Freshwater Fish","DEU","Germany","NBR","Number","0","Units",,,11,,
"THREATENED","Total number of threatened species","FRESHW_F","Freshwater Fish","DEU","Germany","NBR","Number","0","Units",,,28,,
"ENDANGERED_IND","Number of endangered indigenous species","FRESHW_F","Freshwater Fish","DEU","Germany","NBR","Number","0","Units",,,9,,
"CRITICAL_IND","Number of critically endangered indigenous species","FRESHW_F","Freshwater Fish","DEU","Germany","NBR","Number","0","Units",,,8,,
"VULNERABLE_IND","Number of vulnerable indigenous species","FRESHW_F","Freshwater Fish","DEU","Germany","NBR","Number","0","Units",,,11,,
"THREATENED_IND","Total number of indigenous threatened species","FRESHW_F","Freshwater Fish","DEU","Germany","NBR","Number","0","Units",,,28,,
"THREAT_PERCENT","Threatened species as % of known species","FRESHW_F","Freshwater Fish","DEU","Germany","PC","Percentage","0","Units",,,30.108,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","FRESHW_F","Freshwater Fish","DEU","Germany","PC","Percentage","0","Units",,,35.443,,
"TOT_KNOWN","Total number of known species","FISH_TOT","Fish","GRC","Greece","NBR","Number","0","Units",,,665,,
"TOT_KNOWN","Total number of known species","MARINE_F","Marine Fish","GRC","Greece","NBR","Number","0","Units",,,511,,
"TOT_KNOWN","Total number of known species","FRESHW_F","Freshwater Fish","GRC","Greece","NBR","Number","0","Units",,,154,,
"TOT_KNOWN_IND","Total number of indigenous known species","FISH_TOT","Fish","GRC","Greece","NBR","Number","0","Units",,,601,,
"TOT_KNOWN_IND","Total number of indigenous known species","MARINE_F","Marine Fish","GRC","Greece","NBR","Number","0","Units",,,469,,
"TOT_KNOWN_IND","Total number of indigenous known species","FRESHW_F","Freshwater Fish","GRC","Greece","NBR","Number","0","Units",,,125,,
"ENDANGERED","Number of endangered species","FISH_TOT","Fish","GRC","Greece","NBR","Number","0","Units",,,16,,
"ENDANGERED","Number of endangered species","MARINE_F","Marine Fish","GRC","Greece","NBR","Number","0","Units",,,4,,
"ENDANGERED","Number of endangered species","FRESHW_F","Freshwater Fish","GRC","Greece","NBR","Number","0","Units",,,12,,
"CRITICAL","Number of critically endangered species","FISH_TOT","Fish","GRC","Greece","NBR","Number","0","Units",,,19,,
"CRITICAL","Number of critically endangered species","MARINE_F","Marine Fish","GRC","Greece","NBR","Number","0","Units",,,5,,
"CRITICAL","Number of critically endangered species","FRESHW_F","Freshwater Fish","GRC","Greece","NBR","Number","0","Units",,,14,,
"VULNERABLE","Number of vulnerable species","FISH_TOT","Fish","GRC","Greece","NBR","Number","0","Units",,,28,,
"VULNERABLE","Number of vulnerable species","MARINE_F","Marine Fish","GRC","Greece","NBR","Number","0","Units",,,5,,
"VULNERABLE","Number of vulnerable species","FRESHW_F","Freshwater Fish","GRC","Greece","NBR","Number","0","Units",,,23,,
"THREATENED","Total number of threatened species","FISH_TOT","Fish","GRC","Greece","NBR","Number","0","Units",,,63,,
"THREATENED","Total number of threatened species","MARINE_F","Marine Fish","GRC","Greece","NBR","Number","0","Units",,,14,,
"THREATENED","Total number of threatened species","FRESHW_F","Freshwater Fish","GRC","Greece","NBR","Number","0","Units",,,49,,
"ENDANGERED_IND","Number of endangered indigenous species","FISH_TOT","Fish","GRC","Greece","NBR","Number","0","Units",,,16,,
"ENDANGERED_IND","Number of endangered indigenous species","MARINE_F","Marine Fish","GRC","Greece","NBR","Number","0","Units",,,4,,
"ENDANGERED_IND","Number of endangered indigenous species","FRESHW_F","Freshwater Fish","GRC","Greece","NBR","Number","0","Units",,,12,,
"CRITICAL_IND","Number of critically endangered indigenous species","FISH_TOT","Fish","GRC","Greece","NBR","Number","0","Units",,,19,,
"CRITICAL_IND","Number of critically endangered indigenous species","MARINE_F","Marine Fish","GRC","Greece","NBR","Number","0","Units",,,5,,
"CRITICAL_IND","Number of critically endangered indigenous species","FRESHW_F","Freshwater Fish","GRC","Greece","NBR","Number","0","Units",,,14,,
"VULNERABLE_IND","Number of vulnerable indigenous species","FISH_TOT","Fish","GRC","Greece","NBR","Number","0","Units",,,28,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MARINE_F","Marine Fish","GRC","Greece","NBR","Number","0","Units",,,5,,
"VULNERABLE_IND","Number of vulnerable indigenous species","FRESHW_F","Freshwater Fish","GRC","Greece","NBR","Number","0","Units",,,23,,
"THREATENED_IND","Total number of indigenous threatened species","FISH_TOT","Fish","GRC","Greece","NBR","Number","0","Units",,,63,,
"THREATENED_IND","Total number of indigenous threatened species","MARINE_F","Marine Fish","GRC","Greece","NBR","Number","0","Units",,,14,,
"THREATENED_IND","Total number of indigenous threatened species","FRESHW_F","Freshwater Fish","GRC","Greece","NBR","Number","0","Units",,,49,,
"THREAT_PERCENT","Threatened species as % of known species","FISH_TOT","Fish","GRC","Greece","PC","Percentage","0","Units",,,9.474,,
"THREAT_PERCENT","Threatened species as % of known species","MARINE_F","Marine Fish","GRC","Greece","PC","Percentage","0","Units",,,2.74,,
"THREAT_PERCENT","Threatened species as % of known species","FRESHW_F","Freshwater Fish","GRC","Greece","PC","Percentage","0","Units",,,31.818,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","FISH_TOT","Fish","GRC","Greece","PC","Percentage","0","Units",,,10.483,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","MARINE_F","Marine Fish","GRC","Greece","PC","Percentage","0","Units",,,2.985,,
"IND_PERCENT","Threatened indigenous species as % of indigenous spec.","FRESHW_F","Freshwater Fish","GRC","Greece","PC","Percentage","0","Units",,,39.2,,
"TOT_KNOWN","Total number of known species","FISH_TOT","Fish","HUN","Hungary","NBR","Number","0","Units",,,81,,
"TOT_KNOWN","Total number of known species","FRESHW_F","Freshwater Fish","HUN","Hungary","NBR","Number","0","Units",,,81,,
"TOT_KNOWN_IND","Total number of indigenous known species","FISH_TOT","Fish","HUN","Hungary","NBR","Number","0","Units",,,52,,
"TOT_KNOWN_IND","Total number of indigenous known species","FRESHW_F","Freshwater Fish","HUN","Hungary","NBR","Number","0","Units",,,52,,
"THREATENED","Total number of threatened species","FISH_TOT","Fish","HUN","Hungary","NBR","Number","0","Units",,,35,,
"THREATENED","Total number of threatened species","FRESHW_F","Freshwater Fish","HUN","Hungary","NBR","Number","0","Units",,,35,,
"THREAT_PERCENT","Threatened species as % of known species","FISH_TOT","Fish","HUN","Hungary","PC","Percentage","0","Units",,,43.21,,
"THREAT_PERCENT","Threatened species as % of known species","FRESHW_F","Freshwater Fish","HUN","Hungary","PC","Percentage","0","Units",,,43.21,,
"TOT_KNOWN","Total number of known species","FRESHW_F","Freshwater Fish","ISL","Iceland","NBR","Number","0","Units",,,5,,
"TOT_KNOWN","Total number of known species","FISH_TOT","Fish","IRL","Ireland","NBR","Number","0","Units",,,404,,
"TOT_KNOWN","Total number of known species","MARINE_F","Marine Fish","IRL","Ireland","NBR","Number","0","Units",,,376,,
"TOT_KNOWN","Total number of known species","FRESHW_F","Freshwater Fish","IRL","Ireland","NBR","Number","0","Units",,,28,,
"TOT_KNOWN_IND","Total number of indigenous known species","FISH_TOT","Fish","IRL","Ireland","NBR","Number","0","Units",,,391,,
"TOT_KNOWN_IND","Total number of indigenous known species","MARINE_F","Marine Fish","IRL","Ireland","NBR","Number","0","Units",,,376,,
"TOT_KNOWN_IND","Total number of indigenous known species","FRESHW_F","Freshwater Fish","IRL","Ireland","NBR","Number","0","Units",,,15,,
"CRITICAL","Number of critically endangered species","FRESHW_F","Freshwater Fish","IRL","Ireland","NBR","Number","0","Units",,,1,,
"VULNERABLE","Number of vulnerable species","FRESHW_F","Freshwater Fish","IRL","Ireland","NBR","Number","0","Units",,,4,,
"THREATENED","Total number of threatened species","FRESHW_F","Freshwater Fish","IRL","Ireland","NBR","Number","0","Units",,,5,,
"CRITICAL_IND","Number of critically endangered indigenous species","FRESHW_F","Freshwater Fish","IRL","Ireland","NBR","Number","0","Units",,,1,,
